gp-common-timestamp,before,dirty_reboot_time
2024-03-21T04:54:19Z,"[2024-03-14T09:44:03+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:44 UTC 2024][168][02] XID 74 NVLink: fatal error detected on link 2(0x10000000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:44:05+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:44 UTC 2024][169][02] XID 74 NVLink: fatal error detected on link 3(0x10000000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:44:07+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:44 UTC 2024][170][02] XID 74 NVLink: fatal error detected on link 12(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:44:09+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:44 UTC 2024][171][02] XID 74 NVLink: fatal error detected on link 13(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:44:11+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:45 UTC 2024][172][02] XID 74 NVLink: fatal error detected on link 8(0x10000000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:44:13+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:45 UTC 2024][173][02] XID 74 NVLink: fatal error detected on link 9(0x10000000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:44:14+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:45 UTC 2024][174][02] XID 74 NVLink: fatal error detected on link 11(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:44:16+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:45 UTC 2024][175][02] XID 74 NVLink: fatal error detected on link 16(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:44:18+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:45 UTC 2024][176][02] XID 74 NVLink: fatal error detected on link 17(0x10000000; 0x0; 0x0'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-03-14T09:44:20+00:00]: The resource property GPU_SXM_6 Driver Event Message has detected errors of type '[Thu Mar 14 09:42:45 UTC 2024][177][02] XID 74 NVLink: fatal error detected on link 6(0x10000000; 0x0; 0x0;'.; Resolution: , Resolved: (Unknown) ",2024-03-21 05:53:06
